eval_id,control,result,severity,asset_id,gap,recommended_action,artifact_needed
CM8_INVENTORY_RECONCILIATION,CM-8;CM-8(1);CM-8(3),PASS,low,assessment_tracker,No declared inventory rows and no discovered assets to reconcile.,missing,missing
RA5_SCANNER_SCOPE_COVERAGE,RA-5;RA-5(3);RA-5(5);RA-5(6);CA-7;SI-2,PASS,low,assessment_tracker,"No declared inventory, discovered assets, or scanner targets to assess.",missing,missing
AU6_CENTRALIZED_LOG_COVERAGE,AU-2;AU-3;AU-3(1);AU-6;AU-6(1);AU-6(3);AU-7;AU-8;AU-12;AU-9(2);SI-4,PASS,low,assessment_tracker,"No declared inventory, assets, or log sources to assess.",missing,missing
SI4_ALERT_INSTRUMENTATION,SI-4;SI-4(1);SI-4(4);SI-4(16);AU-5;AU-6;AC-2(4);AC-2(7);CM-8(3);CM-10;CM-11;SI-3,FAIL,high,assessment_tracker,No alert rules are defined while security-relevant semantic events require instrumentation.; No enabled alert rule covers logging.audit_disabled.; No enabled alert rule covers network.public_admin_port_opened.,Generate SPL/KQL/GCP/AWS query.; Add enabled alert.; Add recipient list.; Produce sample alert evidence.; Link alert to incident/change response workflow.,missing
CROSS_DOMAIN_EVENT_CORRELATION,CM-8;RA-5;AU-2;AU-3;AU-6;AU-12;SI-4;CM-3;CA-5;SC-7;AC-2;IR-4;SA-9,PASS,low,assessment_tracker,Cross-domain correlation: no risky semantic events in scope.,missing,output/correlations.json
RA5_EXPLOITATION_REVIEW,RA-5(8),PASS,low,assessment_tracker,RA-5(8): no open High/Critical scanner findings require exploitation review in this bundle.,missing,output/exploitation_review_queries.md
CM3_CHANGE_EVIDENCE_LINKAGE,CM-3;CM-4;CM-5;CM-6;MA-2;MA-3;MA-4;MA-5;SI-2;SA-10,PASS,low,assessment_tracker,CM-3/SI-2: no risky change semantics or open High/Critical findings require change ticket linkage in this bundle.,missing,missing
AGENT_TOOL_GOVERNANCE,AC-6;CM-10;CM-11;SA-9,PASS,low,assessment_tracker,missing,missing,missing
AGENT_PERMISSION_SCOPE,AC-2;AC-3;AC-6;IA-5,PASS,low,assessment_tracker,missing,missing,missing
AGENT_MEMORY_CONTEXT_SAFETY,SC-28;AC-4;AU-9;SI-12,PASS,low,assessment_tracker,missing,missing,missing
AGENT_APPROVAL_GATES,CM-3;CM-5;CA-7;SA-9,PASS,low,assessment_tracker,missing,missing,missing
AGENT_POLICY_VIOLATIONS,IR-4;SI-4;AC-2;AC-6,PASS,low,assessment_tracker,missing,missing,missing
AGENT_AUDITABILITY,AU-2;AU-3;AU-6;AU-9,PASS,low,assessment_tracker,missing,missing,missing
CA5_POAM_STATUS,CA-5;CA-7;RA-5;CP-9;CP-10,OPEN,unknown,assessment_tracker,Continuous monitoring evidence incomplete; new POA&M rows written to poam.csv.,"Enter responsible roles, funding, and milestone owners in the official POA&M system.",output/poam.csv
