poam_id,weakness_name,weakness_description,controls,severity,source_identifying_vulnerability,asset_identifier,point_of_contact,scheduled_completion_date,milestones,status,linked_evidence_gap_id,linked_ksi_ids
POAM-TRK-0001,Credentialed scan evidence missing: Provide the Nessus scan target list and credentialed-scan profile evidence for the boundary; show that all in-boundary a,Provide the Nessus scan target list and credentialed-scan profile evidence for the boundary; show that all in-boundary assets are in scope and credentialed.,"RA-5, RA-5(3), RA-5(5)",high,FedRAMP assessment tracker row 3,3,Vuln Mgmt,2026-04-26,Produce: scanner_targets.csv with credentialed=true + plugin/profile evidence | Validate via: Verify scanner_targets.credentialed flag in RA5_SCANNER_SCOPE_COVERAGE,Open,gap-0003-credentialed-scan-evidence-missing,KSI-VULN-01
POAM-TRK-0002,Vulnerability scan evidence missing: Latest Nessus vulnerability scan reports (full scope) plus Burp web-app scan signatures and any deltas vs. prior cycle.,Latest Nessus vulnerability scan reports (full scope) plus Burp web-app scan signatures and any deltas vs. prior cycle.,"RA-5, SI-2",high,FedRAMP assessment tracker row 4,4,Vuln Mgmt,2026-04-26,Produce: scanner_findings.json export from latest credentialed scan | Validate via: Re-import via `import-findings --format prowler|ocsf`,Open,gap-0004-vulnerability-scan-evidence-missing,KSI-VULN-01
POAM-TRK-0003,Exploitation review missing: Exploitation review for all High/Critical vulnerabilities open >30 days. Show IoC search and historical audit log review,Exploitation review for all High/Critical vulnerabilities open >30 days. Show IoC search and historical audit log review for each finding.,RA-5(8),critical,FedRAMP assessment tracker row 5,5,SOC,2026-05-03,Produce: scanner_findings.json finding with exploitation_review.queries[] + log_review_performed=true | Validate via: Run RA5_EXPLOITATION_REVIEW,Open,gap-0005-exploitation-review-missing,"KSI-VULN-01, KSI-IR-01"
POAM-TRK-0004,"Local to central log correlation missing: Demonstrate centralized audit log aggregation: provide Splunk dashboards/searches showing CloudTrail, VPC Flow Logs, Clo","Demonstrate centralized audit log aggregation: provide Splunk dashboards/searches showing CloudTrail, VPC Flow Logs, CloudWatch Logs, and OS auth.log are reaching the SIEM.","AU-2, AU-3, AU-6, AU-12",high,FedRAMP assessment tracker row 6,6,Logging,2026-04-19,Produce: central_log_sources.json plus a local audit log sample correlated with the central index | Validate via: AU6_CENTRALIZED_LOG_COVERAGE local-vs-central correlation must show seen_last_24h=true,Open,gap-0006-local-to-central-log-correlation-missing,KSI-LOG-01
POAM-TRK-0005,"Alert sample missing: Provide the alert rules / saved searches with recipient lists (SOC, IR, IAM Governance) and at least one example alert t","Provide the alert rules / saved searches with recipient lists (SOC, IR, IAM Governance) and at least one example alert that fired and was actioned.","AU-6, SI-4",high,FedRAMP assessment tracker row 7,7,SOC,2026-04-26,Produce: sample_alert_ref pointing at an executed alert export | Validate via: SI4_ALERT_INSTRUMENTATION requires sample_alert_ref to be non-empty,Open,gap-0007-alert-sample-missing,"KSI-LOG-01, KSI-IR-01"
POAM-TRK-0006,"Response action missing: List CloudWatch alarms and GuardDuty findings considered ""suspicious activity""; map each to a documented response action","List CloudWatch alarms and GuardDuty findings considered ""suspicious activity""; map each to a documented response action.","SI-4(1), SI-4(4)",high,FedRAMP assessment tracker row 8,8,SOC,2026-05-03,Produce: tickets.json entry citing the alert with documented response | Validate via: Run CROSS_DOMAIN_EVENT_CORRELATION (alert -> ticket linkage),Open,gap-0008-response-action-missing,KSI-IR-01
POAM-TRK-0007,"Sia missing: Sample change tickets in JIRA with full evidence chain: Security Impact Analysis, testing artifacts, CAB approval, deplo","Sample change tickets in JIRA with full evidence chain: Security Impact Analysis, testing artifacts, CAB approval, deployment evidence, post-deploy verification.","CM-3, SI-2",high,FedRAMP assessment tracker row 9,9,Change Mgmt,2026-04-26,Produce: tickets.json field security_impact_analysis=true with SIA attachment | Validate via: CM3_CHANGE_EVIDENCE_LINKAGE expects security_impact_analysis=true,Open,gap-0009-sia-missing,KSI-CM-01
POAM-TRK-0008,"Poam update missing: POA&M updates: Provide the current POA&M with deviation requests, vendor dependencies, and operational requirements clea","POA&M updates: Provide the current POA&M with deviation requests, vendor dependencies, and operational requirements clearly noted.",CA-5,moderate,FedRAMP assessment tracker row 10,10,GRC,2026-04-30,"Produce: poam.csv with current status, dates, and milestones | Validate via: Run CA5_POAM_STATUS",In Progress,gap-0010-poam-update-missing,KSI-VULN-01
POAM-TRK-0009,"Response action missing: Incident response evidence: any suspected or confirmed incidents in the past 12 months, including US-CERT/CISA notificat","Incident response evidence: any suspected or confirmed incidents in the past 12 months, including US-CERT/CISA notifications and incident closure records.","IR-4, IR-6",high,FedRAMP assessment tracker row 11,11,IR,2026-05-10,Produce: tickets.json entry citing the alert with documented response | Validate via: Run CROSS_DOMAIN_EVENT_CORRELATION (alert -> ticket linkage),Open,gap-0011-response-action-missing,KSI-IR-01
POAM-TRK-0010,Restore test missing: Backup and recovery evidence: most recent restore test (RTO/RPO measurements) and snapshot evidence for RDS + AMI snapsh,Backup and recovery evidence: most recent restore test (RTO/RPO measurements) and snapshot evidence for RDS + AMI snapshots.,"CP-9, CP-10",high,FedRAMP assessment tracker row 13,13,Ops,2026-05-10,Produce: restore_tests.json with measured RTO/RPO | Validate via: Validate restore_tests.json + measured RTO/RPO (manual review),Open,gap-0013-restore-test-missing,KSI-REC-01
